index,org_code,period,attendances,breaches
1007,REF,Jan-17,"5,580.0","1,366.0"
1009,RH8,Jan-17,"7,798.0",757.0
1011,RA2,Jan-17,"5,570.0",767.0
1012,RD1,Jan-17,"5,818.0","1,763.0"
1014,RNZ,Jan-17,"3,550.0",581.0
1022,RTP,Jan-17,"7,711.0","1,004.0"
1024,RBA,Jan-17,"5,198.0",453.0
1026,RDZ,Jan-17,"5,994.0",665.0
1028,RA9,Jan-17,"5,863.0","1,088.0"
1030,RHM,Jan-17,"8,230.0","1,472.0"
1032,RA7,Jan-17,"8,566.0","1,985.0"
1034,RYR,Jan-17,"10,512.0","1,030.0"
1036,RA3,Jan-17,"4,073.0","1,471.0"
1041,RA4,Jan-17,"3,812.0",162.0
1042,RF4,Dec-16,"21,096.0","3,929.0"
1045,R1H,Dec-16,"29,522.0","7,298.0"
1050,RQM,Dec-16,"16,931.0","2,675.0"
1052,RJ6,Dec-16,"6,551.0","1,483.0"
1056,RVR,Dec-16,"12,585.0",768.0
1058,RJ1,Dec-16,"12,254.0","1,716.0"
1062,RQX,Dec-16,"10,278.0",642.0
1064,RYJ,Dec-16,"9,996.0","3,530.0"
1067,RJZ,Dec-16,"17,326.0","5,682.0"
1070,RAX,Dec-16,"9,191.0","1,417.0"
1072,RJ2,Dec-16,"18,393.0","4,254.0"
1074,R1K,Dec-16,"12,163.0","5,392.0"
1078,RAP,Dec-16,"14,918.0","3,078.0"
1082,RAL,Dec-16,"19,157.0","3,695.0"
1085,RJ7,Dec-16,"12,785.0","1,537.0"
1088,RAS,Dec-16,"5,868.0","2,777.0"
1092,RKE,Dec-16,"8,238.0","1,169.0"
1093,RRV,Dec-16,"11,196.0","1,565.0"
1097,RDD,Dec-16,"11,910.0","1,316.0"
1098,RC1,Dec-16,"6,147.0",614.0
1100,RQ3,Dec-16,"5,297.0",368.0
1101,RJF,Dec-16,"5,228.0","1,190.0"
1103,RGT,Dec-16,"9,127.0","2,262.0"
1105,RFS,Dec-16,"6,708.0","1,247.0"
1107,RDE,Dec-16,"7,272.0","2,135.0"
1109,RTG,Dec-16,"11,375.0","2,504.0"
1113,RWH,Dec-16,"9,048.0","1,983.0"
1117,RLT,Dec-16,"6,396.0","1,119.0"
1120,RR1,Dec-16,"18,850.0","4,047.0"
1123,RQQ,Dec-16,"3,574.0","1,007.0"
1124,RGQ,Dec-16,"7,206.0",692.0
1126,RGP,Dec-16,"6,005.0",616.0
1128,RNQ,Dec-16,"7,469.0","1,546.0"
1132,RC9,Dec-16,"8,572.0",171.0
1137,RQ8,Dec-16,"7,412.0","1,471.0"
1139,RD8,Dec-16,"7,931.0","1,585.0"
1142,RM1,Dec-16,"9,632.0","2,151.0"
1145,RGN,Dec-16,"8,206.0","2,454.0"
1147,RNS,Dec-16,"8,679.0","1,596.0"
1151,RX1,Dec-16,"14,569.0","3,901.0"
1158,RXK,Dec-16,"13,578.0","3,319.0"
1161,RK5,Dec-16,"8,466.0",722.0
1163,RXW,Dec-16,"9,667.0","2,523.0"
1168,RJC,Dec-16,"5,226.0",393.0
1170,RAJ,Dec-16,"8,375.0","2,252.0"
1172,RNA,Dec-16,"8,720.0","1,495.0"
1174,RQW,Dec-16,"8,432.0","2,584.0"
1175,RCX,Dec-16,"4,970.0",348.0
1176,RL4,Dec-16,"10,541.0","1,591.0"
1178,RWD,Dec-16,"12,617.0","2,837.0"
1179,RRK,Dec-16,"9,449.0","2,179.0"
1180,RKB,Dec-16,"11,507.0","3,100.0"
1183,RWE,Dec-16,"12,221.0","4,881.0"
1186,RJE,Dec-16,"14,278.0","5,110.0"
1189,RBK,Dec-16,"6,268.0","2,093.0"
1192,RWG,Dec-16,"8,117.0","2,452.0"
1194,RGR,Dec-16,"5,511.0",744.0
1195,RWP,Dec-16,"9,735.0","3,568.0"
1198,RLQ,Dec-16,"4,490.0","1,318.0"
1200,REM,Dec-16,"6,945.0","2,918.0"
1202,RCF,Dec-16,"5,335.0",694.0
1203,RBS,Dec-16,"5,230.0",402.0
1204,RFF,Dec-16,"6,980.0","1,149.0"
1205,RXL,Dec-16,"6,902.0","2,690.0"
1207,RMC,Dec-16,"8,874.0","1,959.0"
1209,RAE,Dec-16,"11,737.0","2,104.0"
1212,RWY,Dec-16,"12,735.0",957.0
1214,RW3,Dec-16,"12,681.0","2,380.0"
1217,RLN,Dec-16,"8,164.0","1,090.0"
1220,RJR,Dec-16,"5,912.0","1,152.0"
1222,RXP,Dec-16,"10,593.0","2,360.0"
1225,RP5,Dec-16,"10,927.0","1,811.0"
1227,RJN,Dec-16,"4,153.0",884.0
1229,RXR,Dec-16,"9,428.0","3,024.0"
1232,RR7,Dec-16,"7,549.0",504.0
1234,RCD,Dec-16,"4,065.0",363.0
1236,RWA,Dec-16,"10,770.0","1,504.0"
1239,RXN,Dec-16,"7,640.0","2,308.0"
1242,RR8,Dec-16,"17,763.0","4,275.0"
1248,RBT,Dec-16,"5,284.0",752.0
1250,RXF,Dec-16,"19,596.0","4,516.0"
1251,RNL,Dec-16,"7,406.0","1,053.0"
1252,RVW,Dec-16,"5,811.0",658.0
1256,RJL,Dec-16,"10,790.0","2,115.0"
1258,RTF,Dec-16,"8,620.0","2,083.0"
1260,RW6,Dec-16,"22,409.0","5,784.0"
1263,RQ6,Dec-16,"7,524.0","2,709.0"
1266,RM3,Dec-16,"8,662.0","1,413.0"
1267,RCU,Dec-16,"5,114.0",177.0
1268,RHQ,Dec-16,"9,465.0","3,380.0"
1271,RTR,Dec-16,"10,109.0",992.0
1273,RE9,Dec-16,"4,833.0",444.0
1275,RVY,Dec-16,"6,506.0","1,013.0"
1277,RBN,Dec-16,"8,599.0","2,234.0"
1279,RWJ,Dec-16,"7,897.0","2,414.0"
1280,RMP,Dec-16,"7,165.0","1,703.0"
1281,RTD,Dec-16,"10,614.0","1,422.0"
1284,RFR,Dec-16,"2,572.0",535.0
1285,RM2,Dec-16,"8,542.0","1,389.0"
1286,RTX,Dec-16,"7,222.0","1,578.0"
1288,RWW,Dec-16,"6,544.0","1,489.0"
1291,RBL,Dec-16,"8,142.0","1,819.0"
1294,RRF,Dec-16,"7,470.0","1,298.0"
1295,RCB,Dec-16,"9,147.0","2,887.0"
1297,RTK,Dec-16,"8,574.0","1,661.0"
1303,RXH,Dec-16,"12,300.0","2,597.0"
1306,RXQ,Dec-16,"7,043.0","1,456.0"
1312,RN7,Dec-16,"8,993.0","2,187.0"
1314,RBD,Dec-16,"3,439.0",77.0
1316,RVV,Dec-16,"12,487.0","4,481.0"
1318,RXC,Dec-16,"9,136.0","2,055.0"
1320,RDU,Dec-16,"19,713.0","2,228.0"
1322,RTE,Dec-16,"10,843.0","2,809.0"
1323,RN3,Dec-16,"6,665.0","2,085.0"
1325,RN5,Dec-16,"8,976.0","1,391.0"
1328,R1F,Dec-16,"3,391.0",672.0
1332,RWF,Dec-16,"11,901.0","2,740.0"
1334,RPA,Dec-16,"10,002.0","2,640.0"
1335,RVJ,Dec-16,"6,908.0","1,523.0"
1336,RBZ,Dec-16,"3,613.0",405.0
1340,RTH,Dec-16,"10,813.0","1,105.0"
1343,RK9,Dec-16,"7,874.0","1,289.0"
1345,RD3,Dec-16,"5,406.0",567.0
1347,RHU,Dec-16,"9,081.0","3,065.0"
1351,RHW,Dec-16,"9,238.0",846.0
1353,REF,Dec-16,"5,840.0","1,324.0"
1355,RH8,Dec-16,"8,087.0",677.0
1357,RA2,Dec-16,"5,975.0","1,051.0"
1358,RD1,Dec-16,"6,028.0",993.0
1360,RNZ,Dec-16,"3,703.0",433.0
